ImmGenATAC1219.peak_19	human531027
ImmGenATAC1219.peak_144890	human342857
ImmGenATAC1219.peak_144961	human342820
ImmGenATAC1219.peak_144964	human342818
ImmGenATAC1219.peak_144965	human342817
ImmGenATAC1219.peak_144993	human342777
ImmGenATAC1219.peak_144996	human342773
ImmGenATAC1219.peak_144998	human342771
ImmGenATAC1219.peak_145000	human342770
ImmGenATAC1219.peak_145001	human342769
ImmGenATAC1219.peak_145011	human342762
ImmGenATAC1219.peak_145030	human342749
ImmGenATAC1219.peak_145043	human342732
ImmGenATAC1219.peak_145044	human342731
ImmGenATAC1219.peak_145046	human342730
ImmGenATAC1219.peak_145047	human342729
ImmGenATAC1219.peak_145049	human342728
ImmGenATAC1219.peak_145051	human342725
ImmGenATAC1219.peak_145057	human342718
ImmGenATAC1219.peak_145062	human342702
ImmGenATAC1219.peak_145064	human342698
ImmGenATAC1219.peak_145065	human342697
ImmGenATAC1219.peak_145066	human342696
ImmGenATAC1219.peak_145070	human342677
ImmGenATAC1219.peak_145079	human342667
ImmGenATAC1219.peak_145094	human342659
ImmGenATAC1219.peak_145099	human342658
ImmGenATAC1219.peak_145100	human342657
ImmGenATAC1219.peak_145108	human342653
ImmGenATAC1219.peak_145116	human342650
ImmGenATAC1219.peak_145119	human342648
ImmGenATAC1219.peak_145120	human342646
ImmGenATAC1219.peak_145122	human342644
ImmGenATAC1219.peak_145154	human342626
ImmGenATAC1219.peak_145195	human342610
ImmGenATAC1219.peak_145209	human342606
ImmGenATAC1219.peak_145228	human342591
ImmGenATAC1219.peak_145230	human342587
ImmGenATAC1219.peak_145231	human342585
ImmGenATAC1219.peak_145269	human342542
ImmGenATAC1219.peak_145274	human342532
ImmGenATAC1219.peak_145276	human342531
ImmGenATAC1219.peak_145277	human342530
ImmGenATAC1219.peak_145279	human342529
ImmGenATAC1219.peak_145284	human342517
ImmGenATAC1219.peak_145298	human342508
ImmGenATAC1219.peak_145311	human342498
ImmGenATAC1219.peak_145331	human342483
ImmGenATAC1219.peak_145350	human342473
ImmGenATAC1219.peak_145351	human342472
ImmGenATAC1219.peak_145356	human342470
ImmGenATAC1219.peak_145361	human342467
ImmGenATAC1219.peak_145363	human342465
ImmGenATAC1219.peak_145377	human342455
ImmGenATAC1219.peak_145391	human342451
ImmGenATAC1219.peak_145397	human342449
ImmGenATAC1219.peak_145399	human342448
ImmGenATAC1219.peak_145401	human342446
ImmGenATAC1219.peak_145429	human342435
ImmGenATAC1219.peak_145444	human342420
ImmGenATAC1219.peak_145455	human342397
ImmGenATAC1219.peak_145456	human342395
ImmGenATAC1219.peak_145457	human342393
ImmGenATAC1219.peak_145458	human342392
ImmGenATAC1219.peak_145460	human342391
ImmGenATAC1219.peak_145463	human342387
ImmGenATAC1219.peak_145470	human342375
ImmGenATAC1219.peak_145471	human342368
ImmGenATAC1219.peak_145472	human342354
ImmGenATAC1219.peak_145489	human342319
ImmGenATAC1219.peak_145495	human342299
ImmGenATAC1219.peak_145497	human342294
ImmGenATAC1219.peak_145498	human342292
ImmGenATAC1219.peak_145513	human342274
ImmGenATAC1219.peak_145518	human342270
ImmGenATAC1219.peak_145537	human342250
ImmGenATAC1219.peak_145547	human342232
ImmGenATAC1219.peak_145560	human342221
ImmGenATAC1219.peak_145575	human342209
ImmGenATAC1219.peak_145585	human342202
ImmGenATAC1219.peak_145590	human342201
ImmGenATAC1219.peak_145594	human342193
ImmGenATAC1219.peak_145613	human342170
ImmGenATAC1219.peak_145632	human342139
ImmGenATAC1219.peak_145633	human342136
ImmGenATAC1219.peak_145634	human342135
ImmGenATAC1219.peak_145635	human342134
ImmGenATAC1219.peak_145639	human342126
ImmGenATAC1219.peak_145643	human342118
ImmGenATAC1219.peak_145653	human505372
ImmGenATAC1219.peak_145656	human505359
ImmGenATAC1219.peak_145669	human161595
ImmGenATAC1219.peak_145687	human161582
ImmGenATAC1219.peak_145688	human161581
ImmGenATAC1219.peak_145690	human161580
ImmGenATAC1219.peak_145692	human161579
ImmGenATAC1219.peak_145694	human161578
ImmGenATAC1219.peak_145701	human161575
ImmGenATAC1219.peak_145705	human161571
ImmGenATAC1219.peak_145706	human161569
ImmGenATAC1219.peak_145707	human161568
ImmGenATAC1219.peak_145711	human161563
ImmGenATAC1219.peak_145712	human161561
ImmGenATAC1219.peak_145714	human161559
ImmGenATAC1219.peak_145717	human161556
ImmGenATAC1219.peak_145719	human161549
ImmGenATAC1219.peak_145720	human161546
ImmGenATAC1219.peak_145729	human161538
ImmGenATAC1219.peak_145737	human161524
ImmGenATAC1219.peak_145738	human161523
ImmGenATAC1219.peak_145741	human161517
ImmGenATAC1219.peak_145743	human161513
ImmGenATAC1219.peak_145748	human161505
ImmGenATAC1219.peak_145750	human161501
ImmGenATAC1219.peak_145754	human161491
ImmGenATAC1219.peak_145756	human161489
ImmGenATAC1219.peak_145757	human161484
ImmGenATAC1219.peak_145760	human161483
ImmGenATAC1219.peak_145761	human161481
ImmGenATAC1219.peak_145762	human161478
ImmGenATAC1219.peak_145765	human161477
ImmGenATAC1219.peak_145766	human161476
ImmGenATAC1219.peak_145768	human161475
ImmGenATAC1219.peak_145769	human161474
ImmGenATAC1219.peak_145771	human161473
ImmGenATAC1219.peak_145772	human161469
ImmGenATAC1219.peak_145774	human161468
ImmGenATAC1219.peak_145776	human161467
ImmGenATAC1219.peak_145778	human161461
ImmGenATAC1219.peak_145780	human161460
ImmGenATAC1219.peak_145783	human161459
ImmGenATAC1219.peak_145785	human161458
ImmGenATAC1219.peak_145795	human161446
ImmGenATAC1219.peak_145804	human161442
ImmGenATAC1219.peak_145817	human459569
ImmGenATAC1219.peak_145822	human459571
ImmGenATAC1219.peak_145825	human459574
ImmGenATAC1219.peak_145828	human459578
ImmGenATAC1219.peak_145829	human459579
ImmGenATAC1219.peak_145833	human459581
ImmGenATAC1219.peak_145843	human459595
ImmGenATAC1219.peak_145847	human459599
ImmGenATAC1219.peak_145850	human459603
ImmGenATAC1219.peak_145856	human459609
ImmGenATAC1219.peak_145858	human459610
ImmGenATAC1219.peak_145863	human459612
ImmGenATAC1219.peak_145864	human459613
ImmGenATAC1219.peak_145865	human459614
ImmGenATAC1219.peak_145867	human459617
ImmGenATAC1219.peak_145869	human459618
ImmGenATAC1219.peak_145896	human459643
ImmGenATAC1219.peak_145897	human459644
ImmGenATAC1219.peak_145903	human65765
ImmGenATAC1219.peak_145905	human65767
ImmGenATAC1219.peak_145910	human65775
ImmGenATAC1219.peak_145912	human65778
ImmGenATAC1219.peak_145913	human65779
ImmGenATAC1219.peak_145922	human65785
ImmGenATAC1219.peak_145927	human65788
ImmGenATAC1219.peak_145929	human65791
ImmGenATAC1219.peak_145941	human65799
ImmGenATAC1219.peak_145948	human65806
ImmGenATAC1219.peak_145949	human65807
ImmGenATAC1219.peak_145955	human65814
ImmGenATAC1219.peak_145960	human65821
ImmGenATAC1219.peak_145963	human65824
ImmGenATAC1219.peak_145967	human65827
ImmGenATAC1219.peak_145975	human65828
ImmGenATAC1219.peak_145981	human65835
ImmGenATAC1219.peak_145982	human65841
ImmGenATAC1219.peak_145984	human65843
ImmGenATAC1219.peak_145986	human65845
ImmGenATAC1219.peak_145988	human65848
ImmGenATAC1219.peak_145989	human65849
ImmGenATAC1219.peak_145996	human65854
ImmGenATAC1219.peak_145998	human65856
ImmGenATAC1219.peak_146002	human65874
ImmGenATAC1219.peak_146004	human65875
ImmGenATAC1219.peak_146005	human65880
ImmGenATAC1219.peak_146008	human65885
ImmGenATAC1219.peak_146009	human65886
ImmGenATAC1219.peak_146010	human65887
ImmGenATAC1219.peak_146012	human65890
ImmGenATAC1219.peak_146014	human65891
ImmGenATAC1219.peak_146015	human65892
ImmGenATAC1219.peak_146016	human65894
ImmGenATAC1219.peak_146018	human65895
ImmGenATAC1219.peak_146020	human65896
ImmGenATAC1219.peak_146026	human65908
ImmGenATAC1219.peak_146028	human65910
ImmGenATAC1219.peak_146031	human65914
ImmGenATAC1219.peak_146032	human65915
ImmGenATAC1219.peak_146033	human65916
ImmGenATAC1219.peak_146034	human65917
ImmGenATAC1219.peak_146035	human65920
ImmGenATAC1219.peak_146043	human65934
ImmGenATAC1219.peak_146045	human65935
ImmGenATAC1219.peak_146050	human65937
ImmGenATAC1219.peak_146053	human65940
ImmGenATAC1219.peak_146055	human65941
ImmGenATAC1219.peak_146057	human65942
ImmGenATAC1219.peak_146060	human65944
ImmGenATAC1219.peak_146061	human65945
ImmGenATAC1219.peak_146063	human65946
ImmGenATAC1219.peak_146065	human65947
ImmGenATAC1219.peak_146068	human65948
ImmGenATAC1219.peak_146069	human65949
ImmGenATAC1219.peak_146070	human65951
ImmGenATAC1219.peak_146072	human65953
ImmGenATAC1219.peak_146077	human65954
ImmGenATAC1219.peak_146079	human65955
ImmGenATAC1219.peak_146084	human65957
ImmGenATAC1219.peak_146088	human65961
ImmGenATAC1219.peak_146094	human65963
ImmGenATAC1219.peak_146098	human65964
ImmGenATAC1219.peak_146099	human65967
ImmGenATAC1219.peak_146100	human65968
ImmGenATAC1219.peak_146101	human65969
ImmGenATAC1219.peak_146104	human65972
ImmGenATAC1219.peak_146107	human65973
ImmGenATAC1219.peak_146108	human65974
ImmGenATAC1219.peak_146115	human65978
ImmGenATAC1219.peak_146116	human65979
ImmGenATAC1219.peak_146118	human65981
ImmGenATAC1219.peak_146119	human65982
ImmGenATAC1219.peak_146122	human65983
ImmGenATAC1219.peak_146123	human65985
ImmGenATAC1219.peak_146126	human65986
ImmGenATAC1219.peak_146128	human65992
ImmGenATAC1219.peak_146130	human65993
ImmGenATAC1219.peak_146131	human65994
ImmGenATAC1219.peak_146138	human66001
ImmGenATAC1219.peak_146141	human66005
ImmGenATAC1219.peak_146144	human66006
ImmGenATAC1219.peak_146147	human66010
ImmGenATAC1219.peak_146150	human66012
ImmGenATAC1219.peak_146156	human66025
ImmGenATAC1219.peak_146159	human66027
ImmGenATAC1219.peak_146163	human66031
ImmGenATAC1219.peak_146167	human66037
ImmGenATAC1219.peak_146172	human66041
ImmGenATAC1219.peak_146174	human66045
ImmGenATAC1219.peak_146175	human66046
ImmGenATAC1219.peak_146178	human66047
ImmGenATAC1219.peak_146185	human66055
ImmGenATAC1219.peak_146186	human66056
ImmGenATAC1219.peak_146192	human66064
ImmGenATAC1219.peak_146193	human66065
ImmGenATAC1219.peak_146194	human66066
ImmGenATAC1219.peak_146195	human66068
ImmGenATAC1219.peak_146212	human66090
ImmGenATAC1219.peak_146215	human66093
ImmGenATAC1219.peak_146223	human66099
ImmGenATAC1219.peak_146241	human66118
ImmGenATAC1219.peak_146261	human66124
ImmGenATAC1219.peak_146262	human66126
ImmGenATAC1219.peak_146282	human66157
ImmGenATAC1219.peak_146283	human66159
ImmGenATAC1219.peak_146284	human66162
ImmGenATAC1219.peak_146286	human66163
ImmGenATAC1219.peak_146288	human66164
ImmGenATAC1219.peak_146289	human66167
ImmGenATAC1219.peak_146292	human66170
ImmGenATAC1219.peak_146295	human66175
ImmGenATAC1219.peak_146296	human66176
ImmGenATAC1219.peak_146305	human66186
ImmGenATAC1219.peak_146314	human66193
ImmGenATAC1219.peak_146324	human66204
ImmGenATAC1219.peak_146326	human66206
ImmGenATAC1219.peak_146342	human66223
ImmGenATAC1219.peak_146347	human66229
ImmGenATAC1219.peak_146348	human66232
ImmGenATAC1219.peak_146349	human66234
ImmGenATAC1219.peak_146353	human66238
ImmGenATAC1219.peak_146359	human66239
ImmGenATAC1219.peak_146365	human66242
ImmGenATAC1219.peak_146366	human66243
ImmGenATAC1219.peak_146374	human66249
ImmGenATAC1219.peak_146375	human66252
ImmGenATAC1219.peak_146376	human66254
ImmGenATAC1219.peak_146377	human66256
ImmGenATAC1219.peak_146380	human66257
ImmGenATAC1219.peak_146392	human66273
ImmGenATAC1219.peak_146395	human66275
ImmGenATAC1219.peak_146399	human66276
ImmGenATAC1219.peak_146407	human66282
ImmGenATAC1219.peak_146408	human66286
ImmGenATAC1219.peak_146411	human66299
ImmGenATAC1219.peak_146413	human66300
ImmGenATAC1219.peak_146415	human66301
ImmGenATAC1219.peak_146416	human66304
ImmGenATAC1219.peak_146426	human66313
ImmGenATAC1219.peak_146428	human66316
ImmGenATAC1219.peak_146429	human66317
ImmGenATAC1219.peak_146436	human66321
ImmGenATAC1219.peak_146442	human66327
ImmGenATAC1219.peak_146445	human66332
ImmGenATAC1219.peak_146446	human66336
ImmGenATAC1219.peak_146447	human66337
ImmGenATAC1219.peak_146448	human66340
ImmGenATAC1219.peak_146450	human66341
ImmGenATAC1219.peak_146451	human66343
ImmGenATAC1219.peak_146453	human66346
ImmGenATAC1219.peak_146456	human66349
ImmGenATAC1219.peak_146464	human66353
ImmGenATAC1219.peak_146465	human66357
ImmGenATAC1219.peak_146467	human66358
ImmGenATAC1219.peak_146468	human66359
ImmGenATAC1219.peak_146470	human66360
ImmGenATAC1219.peak_146471	human66362
ImmGenATAC1219.peak_146477	human66370
ImmGenATAC1219.peak_146490	human66380
ImmGenATAC1219.peak_146496	human66390
ImmGenATAC1219.peak_146499	human66397
ImmGenATAC1219.peak_146515	human66406
ImmGenATAC1219.peak_146517	human66408
ImmGenATAC1219.peak_146532	human66424
ImmGenATAC1219.peak_146541	human66429
ImmGenATAC1219.peak_146545	human66434
ImmGenATAC1219.peak_146555	human66441
ImmGenATAC1219.peak_146573	human66455
ImmGenATAC1219.peak_146588	human66458
ImmGenATAC1219.peak_146593	human66466
ImmGenATAC1219.peak_146615	human66483
ImmGenATAC1219.peak_146618	human66485
ImmGenATAC1219.peak_146629	human66494
ImmGenATAC1219.peak_146630	human66495
ImmGenATAC1219.peak_146641	human66503
ImmGenATAC1219.peak_146645	human66505
ImmGenATAC1219.peak_146659	human66506
ImmGenATAC1219.peak_146662	human66508
ImmGenATAC1219.peak_146664	human66509
ImmGenATAC1219.peak_146672	human66513
ImmGenATAC1219.peak_146674	human66516
ImmGenATAC1219.peak_146688	human66526
ImmGenATAC1219.peak_146693	human66532
ImmGenATAC1219.peak_146702	human66542
ImmGenATAC1219.peak_146705	human66545
ImmGenATAC1219.peak_146726	human66569
ImmGenATAC1219.peak_146737	human66571
ImmGenATAC1219.peak_146739	human66572
ImmGenATAC1219.peak_146743	human66578
ImmGenATAC1219.peak_146744	human66579
ImmGenATAC1219.peak_146746	human66581
ImmGenATAC1219.peak_146753	human66588
ImmGenATAC1219.peak_146755	human66589
ImmGenATAC1219.peak_146762	human66593
ImmGenATAC1219.peak_146764	human66597
ImmGenATAC1219.peak_146765	human66599
ImmGenATAC1219.peak_146772	human66609
ImmGenATAC1219.peak_146773	human66611
ImmGenATAC1219.peak_146781	human66637
ImmGenATAC1219.peak_146788	human66650
ImmGenATAC1219.peak_146790	human66651
ImmGenATAC1219.peak_146807	human66671
ImmGenATAC1219.peak_146824	human66704
ImmGenATAC1219.peak_146828	human66707
ImmGenATAC1219.peak_146830	human66708
ImmGenATAC1219.peak_146832	human66711
ImmGenATAC1219.peak_146847	human66733
ImmGenATAC1219.peak_146867	human66756
ImmGenATAC1219.peak_146881	human66764
ImmGenATAC1219.peak_146896	human66777
ImmGenATAC1219.peak_146900	human66780
ImmGenATAC1219.peak_146902	human66781
ImmGenATAC1219.peak_146904	human66782
ImmGenATAC1219.peak_146933	human66796
ImmGenATAC1219.peak_146934	human66797
ImmGenATAC1219.peak_146935	human66798
ImmGenATAC1219.peak_146941	human66805
ImmGenATAC1219.peak_146965	human66823
ImmGenATAC1219.peak_147000	human66865
ImmGenATAC1219.peak_147002	human66866
ImmGenATAC1219.peak_147005	human66868
ImmGenATAC1219.peak_147069	human66927
ImmGenATAC1219.peak_147076	human66931
ImmGenATAC1219.peak_147097	human66943
ImmGenATAC1219.peak_147099	human66945
ImmGenATAC1219.peak_147103	human66947
ImmGenATAC1219.peak_147110	human66952
ImmGenATAC1219.peak_147128	human66966
ImmGenATAC1219.peak_147133	human66971
ImmGenATAC1219.peak_147136	human66972
ImmGenATAC1219.peak_147156	human66980
ImmGenATAC1219.peak_147171	human66991
ImmGenATAC1219.peak_147177	human66992
ImmGenATAC1219.peak_147184	human66993
ImmGenATAC1219.peak_147195	human66995
ImmGenATAC1219.peak_147198	human66996
ImmGenATAC1219.peak_147212	human67007
ImmGenATAC1219.peak_147213	human67011
ImmGenATAC1219.peak_147214	human67012
ImmGenATAC1219.peak_147222	human67023
ImmGenATAC1219.peak_147225	human67026
ImmGenATAC1219.peak_147226	human67027
ImmGenATAC1219.peak_147228	human67028
ImmGenATAC1219.peak_147229	human67029
ImmGenATAC1219.peak_147244	human67043
ImmGenATAC1219.peak_147246	human67044
ImmGenATAC1219.peak_147250	human67051
ImmGenATAC1219.peak_147252	human67053
ImmGenATAC1219.peak_147254	human67054
ImmGenATAC1219.peak_147255	human67056
ImmGenATAC1219.peak_147257	human67059
ImmGenATAC1219.peak_147258	human67060
ImmGenATAC1219.peak_147264	human67066
ImmGenATAC1219.peak_147265	human67068
ImmGenATAC1219.peak_147268	human67074
ImmGenATAC1219.peak_147269	human67076
ImmGenATAC1219.peak_147270	human67081
ImmGenATAC1219.peak_147272	human67082
ImmGenATAC1219.peak_147273	human67083
ImmGenATAC1219.peak_147275	human67084
ImmGenATAC1219.peak_147276	human67085
ImmGenATAC1219.peak_147278	human67086
ImmGenATAC1219.peak_147280	human67087
ImmGenATAC1219.peak_147283	human67094
ImmGenATAC1219.peak_147284	human67095
ImmGenATAC1219.peak_147286	human67096
ImmGenATAC1219.peak_147288	human67099
ImmGenATAC1219.peak_147289	human67100
ImmGenATAC1219.peak_147290	human67101
ImmGenATAC1219.peak_147291	human67104
ImmGenATAC1219.peak_147293	human67105
ImmGenATAC1219.peak_147297	human67106
ImmGenATAC1219.peak_147298	human67108
ImmGenATAC1219.peak_147299	human67109
ImmGenATAC1219.peak_147300	human67113
ImmGenATAC1219.peak_147301	human67115
ImmGenATAC1219.peak_147303	human67116
ImmGenATAC1219.peak_147304	human67117
ImmGenATAC1219.peak_147305	human67118
ImmGenATAC1219.peak_147306	human67123
ImmGenATAC1219.peak_147308	human67124
ImmGenATAC1219.peak_147309	human67125
ImmGenATAC1219.peak_147311	human67127
ImmGenATAC1219.peak_147313	human67133
ImmGenATAC1219.peak_147318	human67138
ImmGenATAC1219.peak_147319	human67140
ImmGenATAC1219.peak_147320	human67141
ImmGenATAC1219.peak_147321	human67142
ImmGenATAC1219.peak_147324	human67144
ImmGenATAC1219.peak_147325	human67145
ImmGenATAC1219.peak_147327	human67150
ImmGenATAC1219.peak_147329	human67156
ImmGenATAC1219.peak_147330	human67157
ImmGenATAC1219.peak_147332	human67161
ImmGenATAC1219.peak_147334	human67162
ImmGenATAC1219.peak_147336	human67163
ImmGenATAC1219.peak_147337	human67169
ImmGenATAC1219.peak_147338	human67170
ImmGenATAC1219.peak_147340	human67171
ImmGenATAC1219.peak_147341	human67172
ImmGenATAC1219.peak_147342	human67174
ImmGenATAC1219.peak_147343	human67175
ImmGenATAC1219.peak_147345	human67177
ImmGenATAC1219.peak_147346	human67180
ImmGenATAC1219.peak_147348	human67182
ImmGenATAC1219.peak_147349	human67183
ImmGenATAC1219.peak_147350	human67186
ImmGenATAC1219.peak_147353	human67187
ImmGenATAC1219.peak_147354	human67190
ImmGenATAC1219.peak_147355	human67192
ImmGenATAC1219.peak_147356	human67193
ImmGenATAC1219.peak_147357	human67194
ImmGenATAC1219.peak_147362	human67201
ImmGenATAC1219.peak_147366	human67206
ImmGenATAC1219.peak_147368	human67207
ImmGenATAC1219.peak_147369	human67208
ImmGenATAC1219.peak_147370	human67210
ImmGenATAC1219.peak_147373	human67218
ImmGenATAC1219.peak_147374	human67221
ImmGenATAC1219.peak_147375	human67222
ImmGenATAC1219.peak_147377	human67224
ImmGenATAC1219.peak_147379	human67227
ImmGenATAC1219.peak_147380	human67229
ImmGenATAC1219.peak_147381	human67230
ImmGenATAC1219.peak_147383	human67234
ImmGenATAC1219.peak_147386	human67236
ImmGenATAC1219.peak_147388	human67240
ImmGenATAC1219.peak_147395	human67246
ImmGenATAC1219.peak_147396	human67247
ImmGenATAC1219.peak_147398	human67248
ImmGenATAC1219.peak_147402	human67249
ImmGenATAC1219.peak_147407	human67255
ImmGenATAC1219.peak_147409	human67262
ImmGenATAC1219.peak_147410	human67263
ImmGenATAC1219.peak_147411	human67264
ImmGenATAC1219.peak_147412	human67265
ImmGenATAC1219.peak_147414	human67267
ImmGenATAC1219.peak_147416	human67274
ImmGenATAC1219.peak_147417	human67275
ImmGenATAC1219.peak_147419	human67276
ImmGenATAC1219.peak_147420	human67277
ImmGenATAC1219.peak_147421	human67278
ImmGenATAC1219.peak_147424	human67281
ImmGenATAC1219.peak_147427	human67289
ImmGenATAC1219.peak_147429	human67295
ImmGenATAC1219.peak_147431	human67298
ImmGenATAC1219.peak_147433	human67299
ImmGenATAC1219.peak_147434	human67300
ImmGenATAC1219.peak_147435	human67302
ImmGenATAC1219.peak_147436	human67305
ImmGenATAC1219.peak_147437	human67306
ImmGenATAC1219.peak_147438	human67308
ImmGenATAC1219.peak_147439	human67310
ImmGenATAC1219.peak_147441	human67316
ImmGenATAC1219.peak_147443	human67317
ImmGenATAC1219.peak_147444	human67322
ImmGenATAC1219.peak_147445	human67323
ImmGenATAC1219.peak_147450	human67340
ImmGenATAC1219.peak_147459	human67363
ImmGenATAC1219.peak_147461	human67371
ImmGenATAC1219.peak_147463	human67377
ImmGenATAC1219.peak_147464	human67378
ImmGenATAC1219.peak_147465	human67379
ImmGenATAC1219.peak_147466	human67380
ImmGenATAC1219.peak_147467	human67383
ImmGenATAC1219.peak_147468	human67390
ImmGenATAC1219.peak_147469	human67398
ImmGenATAC1219.peak_147470	human67400
ImmGenATAC1219.peak_147473	human67405
ImmGenATAC1219.peak_147474	human67408
ImmGenATAC1219.peak_147475	human67409
ImmGenATAC1219.peak_147476	human67410
ImmGenATAC1219.peak_147477	human67412
ImmGenATAC1219.peak_147480	human67413
ImmGenATAC1219.peak_147482	human67414
ImmGenATAC1219.peak_147483	human67415
ImmGenATAC1219.peak_147485	human67416
ImmGenATAC1219.peak_147488	human67418
ImmGenATAC1219.peak_147490	human67419
ImmGenATAC1219.peak_147493	human67423
ImmGenATAC1219.peak_147495	human67426
ImmGenATAC1219.peak_147496	human67427
ImmGenATAC1219.peak_147498	human67431
ImmGenATAC1219.peak_147505	human67434
ImmGenATAC1219.peak_147506	human67440
ImmGenATAC1219.peak_147510	human67444
ImmGenATAC1219.peak_147511	human67445
ImmGenATAC1219.peak_147512	human67447
ImmGenATAC1219.peak_147513	human67448
ImmGenATAC1219.peak_147515	human67449
ImmGenATAC1219.peak_147518	human67453
ImmGenATAC1219.peak_147525	human67455
ImmGenATAC1219.peak_147527	human67457
ImmGenATAC1219.peak_147530	human67459
ImmGenATAC1219.peak_147541	human67460
ImmGenATAC1219.peak_147544	human67467
ImmGenATAC1219.peak_147546	human67471
ImmGenATAC1219.peak_147550	human67599
ImmGenATAC1219.peak_147553	human67598
ImmGenATAC1219.peak_147554	human67597
ImmGenATAC1219.peak_147555	human67596
ImmGenATAC1219.peak_147568	human67586
ImmGenATAC1219.peak_147575	human67578
ImmGenATAC1219.peak_147581	human67575
ImmGenATAC1219.peak_147619	human351011
ImmGenATAC1219.peak_147636	human350994
ImmGenATAC1219.peak_147641	human350985
ImmGenATAC1219.peak_147646	human350981
ImmGenATAC1219.peak_147648	human350980
ImmGenATAC1219.peak_147651	human350974
ImmGenATAC1219.peak_147660	human168696
ImmGenATAC1219.peak_147665	human350964
ImmGenATAC1219.peak_147666	human350963
ImmGenATAC1219.peak_147669	human350957
ImmGenATAC1219.peak_147670	human350955
ImmGenATAC1219.peak_147683	human350937
ImmGenATAC1219.peak_147687	human350928
ImmGenATAC1219.peak_147693	human350916
ImmGenATAC1219.peak_147695	human350915
ImmGenATAC1219.peak_147696	human350914
ImmGenATAC1219.peak_147719	human350901
ImmGenATAC1219.peak_147772	human350885
ImmGenATAC1219.peak_147774	human350879
ImmGenATAC1219.peak_147775	human350878
ImmGenATAC1219.peak_147777	human350877
ImmGenATAC1219.peak_147778	human350876
ImmGenATAC1219.peak_147796	human350871
ImmGenATAC1219.peak_147800	human350863
ImmGenATAC1219.peak_147801	human350862
ImmGenATAC1219.peak_147803	human350859
ImmGenATAC1219.peak_147806	human350858
ImmGenATAC1219.peak_147812	human350850
ImmGenATAC1219.peak_147820	human350843
ImmGenATAC1219.peak_147821	human350842
ImmGenATAC1219.peak_147826	human350831
ImmGenATAC1219.peak_147827	human350830
ImmGenATAC1219.peak_147829	human350829
ImmGenATAC1219.peak_147830	human350828
ImmGenATAC1219.peak_147833	human350826
ImmGenATAC1219.peak_147834	human350818
ImmGenATAC1219.peak_147837	human350813
ImmGenATAC1219.peak_147845	human350805
ImmGenATAC1219.peak_147851	human350799
ImmGenATAC1219.peak_147856	human350798
ImmGenATAC1219.peak_147859	human350797
ImmGenATAC1219.peak_147861	human350795
ImmGenATAC1219.peak_147862	human350794
ImmGenATAC1219.peak_147870	human350791
ImmGenATAC1219.peak_147876	human350778
ImmGenATAC1219.peak_147880	human350773
ImmGenATAC1219.peak_147887	human350769
ImmGenATAC1219.peak_147888	human350768
ImmGenATAC1219.peak_147891	human350766
ImmGenATAC1219.peak_147892	human350765
ImmGenATAC1219.peak_147893	human350763
ImmGenATAC1219.peak_147894	human350762
ImmGenATAC1219.peak_147895	human350761
ImmGenATAC1219.peak_147897	human350760
ImmGenATAC1219.peak_147898	human350759
ImmGenATAC1219.peak_147899	human350758
ImmGenATAC1219.peak_147904	human350755
ImmGenATAC1219.peak_147909	human350748
ImmGenATAC1219.peak_147915	human350742
ImmGenATAC1219.peak_147917	human350740
ImmGenATAC1219.peak_147919	human350736
ImmGenATAC1219.peak_147920	human350735
ImmGenATAC1219.peak_147936	human350723
ImmGenATAC1219.peak_147937	human350722
ImmGenATAC1219.peak_147938	human350721
ImmGenATAC1219.peak_147939	human350720
ImmGenATAC1219.peak_147941	human350717
ImmGenATAC1219.peak_147942	human350716
ImmGenATAC1219.peak_147943	human350715
ImmGenATAC1219.peak_147945	human350714
ImmGenATAC1219.peak_147946	human350713
ImmGenATAC1219.peak_147947	human350711
ImmGenATAC1219.peak_147950	human350710
ImmGenATAC1219.peak_147954	human350706
ImmGenATAC1219.peak_147955	human350704
ImmGenATAC1219.peak_147957	human350702
ImmGenATAC1219.peak_147958	human350701
ImmGenATAC1219.peak_147959	human350700
ImmGenATAC1219.peak_147961	human350698
ImmGenATAC1219.peak_147967	human350696
ImmGenATAC1219.peak_147978	human350690
ImmGenATAC1219.peak_147980	human350689
ImmGenATAC1219.peak_147982	human350688
ImmGenATAC1219.peak_147988	human350686
ImmGenATAC1219.peak_147989	human350684
ImmGenATAC1219.peak_147997	human350681
ImmGenATAC1219.peak_148004	human350676
ImmGenATAC1219.peak_148011	human350669
ImmGenATAC1219.peak_148013	human350662
ImmGenATAC1219.peak_148014	human350661
ImmGenATAC1219.peak_148023	human350644
ImmGenATAC1219.peak_148024	human350643
ImmGenATAC1219.peak_148040	human350636
ImmGenATAC1219.peak_148041	human350633
ImmGenATAC1219.peak_148043	human350632
ImmGenATAC1219.peak_148056	human350622
ImmGenATAC1219.peak_148063	human350615
ImmGenATAC1219.peak_148066	human350614
ImmGenATAC1219.peak_148075	human350611
ImmGenATAC1219.peak_148076	human350610
ImmGenATAC1219.peak_148088	human350603
ImmGenATAC1219.peak_148104	human350596
ImmGenATAC1219.peak_148108	human350590
ImmGenATAC1219.peak_148120	human350574
ImmGenATAC1219.peak_148124	human350570
ImmGenATAC1219.peak_148150	human350540
ImmGenATAC1219.peak_148152	human350536
ImmGenATAC1219.peak_148155	human350533
ImmGenATAC1219.peak_148170	human350509
